ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,SubGroup
Albanian_T,Arvanitika,arva1236,,,,,,,Albanian
Ancient_Greek,Ancient_Greek,anci1242,,,,,,,Greek
Greek_Mod,Modern_Greek,mode1248,,,,,,,Greek
Classical_Armenian,Classical_Armenian,clas1256,,,,,,,Armenian
Armenian_Mod,Eastern_Armenian,nucl1235,,,,,,,Armenian
Armenian_List,Adapazar,homs1234,,,,,,,Armenian
Old_Prussian,Old_Prussian,prus1238,,,,,,,Balto-Slavic
Lithuanian_ST,Lithuanian,lith1251,,,,,,,Balto-Slavic
Latvian,Latvian,latv1249,,,,,,,Balto-Slavic
Czech,Czech,czec1258,,,,,,,Balto-Slavic
Slovak,Slovak,slov1269,,,,,,,Balto-Slavic
Polish,Polish,poli1260,,,,,,,Balto-Slavic
Lower_Sorbian,Lower_Sorbian,lowe1385,,,,,,,Balto-Slavic
Upper_Sorbian,Upper_Sorbian,uppe1395,,,,,,,Balto-Slavic
Ukrainian,Ukrainian,ukra1253,,,,,,,Balto-Slavic
Byelorussian,Belarusian,bela1254,,,,,,,Balto-Slavic
Russian,Russian,russ1263,,,,,,,Balto-Slavic
Slovenian,Slovenian,slov1268,,,,,,,Balto-Slavic
Macedonian,Macedonian,mace1250,,,,,,,Balto-Slavic
Bulgarian,Bulgarian,bulg1262,,,,,,,Balto-Slavic
Serbian,Serbian,sout1528,,,,,,,Balto-Slavic
Old_Church_Slavonic,Old_Church_Slavic,chur1257,,,,,,,Balto-Slavic
Avestan,Avestan,aves1237,,,,,,,Indo-Aryan
Pashto,Pashto,pash1269,,,,,,,Indo-Aryan
Waziri,Waziri,waci1238,,,,,,,Indo-Aryan
Tadzik,Tajik,taji1245,,,,,,,Indo-Aryan
Persian,Persian,west2369,,,,,,,Indo-Aryan
Sogdian,Sogdian,sogd1245,,,,,,,Indo-Aryan
Wakhi,Wakhi,wakh1245,,,,,,,Indo-Aryan
Baluchi,Baluchi,east2304,,,,,,,Indo-Aryan
Kurdish,Kurdish,kurd1259,,,,,,,Indo-Aryan
Zazaki,Zazaki,kirm1248,,,,,,,Indo-Aryan
Shughni,Shughni,shug1248,,,,,,,Indo-Aryan
Sariqoli,Sariqoli,sari1246,,,,,,,Indo-Aryan
Digor_Ossetic,Digor_Ossetic,digo1242,,,,,,,Indo-Aryan
Vedic_Sanskrit,Vedic_Sanskrit,sans1269,,,,,,,Indo-Aryan
Nepali,Nepali,nepa1254,,,,,,,Indo-Aryan
Assamese,Assamese,assa1263,,,,,,,Indo-Aryan
Oriya,Oriya,oriy1255,,,,,,,Indo-Aryan
Bengali,Bengali,beng1280,,,,,,,Indo-Aryan
Bihari,Bihari,biha1245,,,,,,,Indo-Aryan
Marwari,Marwari,marw1260,,,,,,,Indo-Aryan
Hindi,Hindi,hind1269,,,,,,,Indo-Aryan
Urdu,Urdu,urdu1245,,,,,,,Indo-Aryan
Sindhi,Sindhi,sind1272,,,,,,,Indo-Aryan
Lahnda,Lahnda,lahn1241,,,,,,,Indo-Aryan
Panjabi_ST,Panjabi,panj1256,,,,,,,Indo-Aryan
Gujarati,Gujarati,guja1252,,,,,,,Indo-Aryan
Marathi,Marathi,mara1378,,,,,,,Indo-Aryan
Kashmiri,Kashmiri,kash1277,,,,,,,Indo-Aryan
Singhalese,Singhalese,sinh1246,,,,,,,Indo-Aryan
Gypsy_Gk,Romani,roma1329,,,,,,,Indo-Aryan
Tocharian_A,Tocharian_A,tokh1242,,,,,,,Tocharian
Tocharian_B,Tocharian_B,tokh1243,,,,,,,Tocharian
Hittite,Hittite,hitt1242,,,,,,,Hittite
