ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,SubGroup
Old_Irish,Old_Irish,oldi1246,,,,,,,Celtic
Irish_B,Irish,iris1253,,,,,,,Celtic
Scots_Gaelic,Scots_Gaelic,scot1245,,,,,,,Celtic
Welsh_N,Welsh,wels1247,,,,,,,Celtic
Breton_ST,Breton,bret1244,,,,,,,Celtic
Cornish,Cornish,corn1251,,,,,,,Celtic
Latin,Latin,lati1261,,,,,,,Romance
Sardinian_N,Nuorese,nuor1238,,,,,,,Romance
Sardinian_C,Cagliari,sard1257,,,,,,,Romance
Rumanian_List,Romanian,megl1237,,,,,,,Romance
Vlach,Arumanian,arom1237,,,,,,,Romance
Catalan,Catalan,stan1289,,,,,,,Romance
Portuguese_ST,Portuguese,port1283,,,,,,,Romance
Spanish,Spanish,stan1288,,,,,,,Romance
French,French,stan1290,,,,,,,Romance
Provencal,Provencal,prov1235,,,,,,,Romance
Walloon,Walloon,wall1255,,,,,,,Romance
Ladin,Ladin,ladi1250,,,,,,,Romance
Romansh,Romansh,roma1326,,,,,,,Romance
Friulian,Friulian,friu1240,,,,,,,Romance
Italian,Italian,ital1282,,,,,,,Romance
Gothic,Gothic,goth1244,,,,,,,Germanic
Old_Norse,Old_West_Norse,oldw1240,,,,,,,Germanic
Icelandic_ST,Icelandic,icel1247,,,,,,,Germanic
Faroese,Faroese,faro1244,,,,,,,Germanic
Norwegian,Norwegian,norw1258,,,,,,,Germanic
Swedish,Swedish,swed1254,,,,,,,Germanic
Danish,Danish,dani1285,,,,,,,Germanic
English,English,stan1293,,,,,,,Germanic
Old_English,Old_English,olde1238,,,,,,,Germanic
Frisian,Frisian,fris1239,,,,,,,Germanic
Old_High_German,Old_High_German,oldh1241,,,,,,,Germanic
German,German,stan1295,,,,,,,Germanic
Luxembourgish,Luxembourgish,luxe1243,,,,,,,Germanic
Schwyzerdutsch,Swiss_German,swis1247,,,,,,,Germanic
Dutch_List,Dutch,cent2352,,,,,,,Germanic
Flemish,Flemish,cent2353,,,,,,,Germanic
Afrikaans,Afrikaans,afri1274,,,,,,,Germanic
Albanian_Standard,Tosk,alba1268,,,,,,,Albanian
