ID,ENGLISH,CONCEPTICON_GLOSS,CONCEPTICON_ID
1,I,I,1209
2,all,ALL,98
3,and,AND,1577
4,animal,ANIMAL,619
5,ashes,ASH,646
6,at,AT,1461
7,back,BACK,1291
8,bad,BAD,1292
9,bark,BARK,1204
10,because,BECAUSE,1157
11,belly,BELLY,1251
12,big,BIG,1202
13,bird,BIRD,937
14,bite,BITE,1403
15,black,BLACK,163
16,blood,BLOOD,946
17,blow,BLOW (OF WIND),175
18,bone,BONE,1394
19,breast,BREAST,1402
20,breathe,BREATHE,1407
21,burn,BURN,2102
22,child,CHILD,2099
23,cloud,CLOUD,1489
24,cold,COLD,1287
25,come,COME,1446
26,count,COUNT,1420
27,cut,CUT,1432
28,day,DAY (NOT NIGHT),1225
29,die,DIE,1494
30,dig,DIG,1418
31,dirty,DIRTY,1230
32,dog,DOG,2009
33,drink,DRINK,1401
34,dry,DRY,1398
35,dull,BLUNT,379
36,dust,DUST,2
37,ear,EAR,1247
38,earth,EARTH (SOIL),1228
39,eat,EAT,1336
40,egg,EGG,744
41,eye,EYE,1248
42,fall,FALL,1280
43,far,FAR,1406
44,fat,FAT (ORGANIC SUBSTANCE),323
45,father,FATHER,1217
46,fear,FEAR (TO BE AFRAID),1419
47,feather,FEATHER,1201
48,few,FEW,1242
49,fight,FIGHT,1423
50,fingernail,FINGERNAIL,1258
51,fire,FIRE,221
52,fish,FISH,227
53,five,FIVE,493
54,float,FLOAT,1574
55,flow,FLOW,2003
56,flower,FLOWER,239
57,fly,FLY (MOVE THROUGH AIR),1441
58,fog,FOG,249
59,foot,FOOT,1301
60,four,FOUR,1500
61,freeze,FREEZE,1431
62,fruit,FRUIT,1507
63,full,FULL,1429
64,give,GIVE,1447
65,good,GOOD,1035
66,grass,GRASS,606
67,green,GREEN,1425
68,guts,GUTS,1334
69,hair,HAIR,1040
70,hand,HAND,1277
71,he,HE,1211
72,head,HEAD,1256
73,hear,HEAR,1408
74,heart,HEART,1223
75,heavy,HEAVY,1210
76,here,HERE,136
77,hit,HIT,1433
78,hold,HOLD,1448
79,horn,HORN (ANATOMY),1393
80,how,HOW,1239
81,hunt,HUNT,1435
82,husband,HUSBAND,1200
83,ice,ICE,617
84,if,IF,1459
85,in,IN,1460
86,kill,KILL,1417
87,knee,KNEE,1371
88,know,KNOW,3626
89,lake,LAKE,624
90,laugh,LAUGH,1355
91,leaf,LEAF,628
92,left,LEFT,244
93,leg,LEG,1297
94,lie,LIE (REST),1411
95,live,BE ALIVE,1422
96,liver,LIVER,1224
97,long,LONG,1203
98,louse,LOUSE,1392
99,man,MAN,1554
100,many,MANY,1198
101,meat,MEAT,634
102,moon,MOON,1313
103,mother,MOTHER,1216
104,mountain,MOUNTAIN,639
105,mouth,MOUTH,674
106,name,NAME,1405
107,narrow,NARROW,1267
108,near,NEAR,1942
109,neck,NECK,1333
110,new,NEW,1231
111,night,NIGHT,1233
112,nose,NOSE,1221
113,not,NOT,1240
114,old,OLD,1229
115,one,ONE,1493
116,other,OTHER,197
117,person,PERSON,683
118,play,PLAY,1413
119,pull,PULL,1455
120,push,PUSH,1452
121,rain,RAINING OR RAIN,2108
122,red,RED,156
123,right,CORRECT (RIGHT),1725
124,rightside,RIGHT,1019
125,river,RIVER,666
126,road,ROAD,667
127,root,ROOT,670
128,rope,ROPE,1218
129,rotten,ROTTEN,1728
130,round,ROUND,1395
131,rub,RUB,1449
132,salt,SALT,1274
133,sand,SAND,671
134,say,SAY,1458
135,scratch,SCRATCH,1436
136,sea,SEA,1474
137,see,SEE,1409
138,seed,SEED,714
139,sew,SEW,1457
140,sharp,SHARP,1396
141,short,SHORT,1645
142,sing,SING,1261
143,sit,SIT,1416
144,skin,SKIN,763
145,sky,SKY,1732
146,sleep,SLEEP,1585
147,small,SMALL,1246
148,smell,SMELL,2124
149,smoke,SMOKE (EXHAUST),778
150,smooth,SMOOTH,1234
151,snake,SNAKE,730
152,snow,SNOW,784
153,some,SOME,1241
154,spit,SPIT,1440
155,split,SPLIT,1437
156,squeeze,SQUEEZE,1414
157,stab,STAB,1434
158,stand,STAND,1442
159,star,STAR,1430
160,stick,STICK,1295
161,stone,STONE,857
162,straight,STRAIGHT,1404
163,suck,SUCK,1421
164,sun,SUN,1343
165,swell,SWELL,1573
166,swim,SWIM,1439
167,tail,TAIL,1220
168,that,THAT,78
169,there,THERE,1937
170,they,THEY,817
171,thick,THICK,1244
172,thin,THIN,2308
173,think,THINK,2271
174,this,THIS,1214
175,thou,THOU,1215
176,three,THREE,492
177,throw,THROW,1456
178,tie,TIE,1917
179,tongue,TONGUE,1205
180,tooth,TOOTH,1380
181,tree,TREE,906
182,turn,TURN,1588
183,two,TWO,1498
184,vomit,VOMIT,1278
185,walk,WALK,1443
186,warm,WARM,1232
187,wash,WASH,1453
188,water,WATER,948
189,we,WE,1212
190,wet,WET,1726
191,what,WHAT,1236
192,when,WHEN,1238
193,where,WHERE,1237
194,white,WHITE,1335
195,who,WHO,1235
196,wide,WIDE,1243
197,wife,WIFE,1199
198,wind,WIND,960
199,wing,WING,1257
200,wipe,WIPE,1454
201,with,WITH,1340
202,woman,WOMAN,962
203,woods,FOREST,420
204,worm,WORM,1219
205,year,YEAR,1226
206,yellow,YELLOW,1424
207,you,YOU,1213
